Salary,Uses_AI,Years_Exp,Job_Satisfaction,Is_Remote,TimeSearching
22709,1,2,8,1,60-120 minutes a day
53703,0,17,6,1,15-30 minutes a day
57325,0,27,3,1,15-30 minutes a day
42962,0,7,6,1,15-30 minutes a day
82000,0,4,8,0,30-60 minutes a day
65578,1,14,8,1,30-60 minutes a day
15553,0,25,8,0,15-30 minutes a day
83777,0,12,8,0,30-60 minutes a day
74873,0,10,6,0,30-60 minutes a day
19903,0,27,5,0,60-120 minutes a day
42962,1,10,10,0,15-30 minutes a day
128129,0,11,2,0,Less than 15 minutes a day
90000,1,0.5,6,0,Less than 15 minutes a day
77332,1,11,4,0,15-30 minutes a day
37592,1,18,9,1,60-120 minutes a day
46185,0,37,7,0,30-60 minutes a day
254354,0,20,8,0,Less than 15 minutes a day
80863,1,17,7,1,30-60 minutes a day
36346,1,6,8,1,Over 120 minutes a day
102072,0,7,7,0,60-120 minutes a day
164508,1,7,10,0,30-60 minutes a day
46246,0,16,6,0,60-120 minutes a day
66242,0,6,7,1,30-60 minutes a day
107406,1,6,9,1,30-60 minutes a day
92741,1,7,7,1,30-60 minutes a day
50885,1,12,7,1,60-120 minutes a day
166000,1,15,6,1,30-60 minutes a day
4300,1,7,9,0,15-30 minutes a day
31105,1,15,6,0,60-120 minutes a day
38666,1,4,3,1,15-30 minutes a day
75184,0,6,3,0,30-60 minutes a day
64444,0,8,7,0,60-120 minutes a day
220000,0,24,7,0,15-30 minutes a day
1681,0,2,6,1,30-60 minutes a day
124807,0,29,7,0,30-60 minutes a day
200550,0,5,9,0,30-60 minutes a day
6469,0,42,9,0,Less than 15 minutes a day
85925,1,11,10,0,15-30 minutes a day
75994,1,8,9,1,15-30 minutes a day
64444,0,30,7,0,15-30 minutes a day
140387,0,10,9,0,60-120 minutes a day
50483,0,30,7,0,Less than 15 minutes a day
85886,0,25,6,1,60-120 minutes a day
104004,0,24,8,1,15-30 minutes a day
105000,1,26,8,1,30-60 minutes a day
250000,0,10,7,0,60-120 minutes a day
592,0,4,2,1,60-120 minutes a day
86093,1,29,8,0,30-60 minutes a day
65424,0,9,8,0,30-60 minutes a day
82000,0,2,8,0,60-120 minutes a day
450000,1,37,4,0,30-60 minutes a day
85925,0,4,6,0,30-60 minutes a day
102504,1,2,3,0,30-60 minutes a day
17279,1,7,7,1,30-60 minutes a day
34370,0,33,10,0,15-30 minutes a day
27969,1,1,8,0,15-30 minutes a day
88572,1,11,2,1,30-60 minutes a day
120000,1,8,8,1,15-30 minutes a day
73748,1,24,4,0,30-60 minutes a day
16937,1,3,1,1,30-60 minutes a day
350000,1,6,9,0,15-30 minutes a day
109039,0,26,8,0,30-60 minutes a day
80555,1,13,9,0,60-120 minutes a day
16330,0,35,9,0,30-60 minutes a day
62000,1,12,7,0,15-30 minutes a day
104399,0,27,7,0,30-60 minutes a day
75184,1,7,10,0,15-30 minutes a day
40814,1,3,8,0,Less than 15 minutes a day
42962,1,30,8,0,30-60 minutes a day
90625,0,8,8,0,15-30 minutes a day
16168,1,12,10,1,Less than 15 minutes a day
55048,1,8,8,0,15-30 minutes a day
80000,1,30,6,0,30-60 minutes a day
346000,0,18,8,1,15-30 minutes a day
51984,1,9,8,0,15-30 minutes a day
21619,0,2,7,0,15-30 minutes a day
210000,0,45,5,0,60-120 minutes a day
65969,0,9,9,0,15-30 minutes a day
15553,1,6,8,0,15-30 minutes a day
120000,0,6,10,0,15-30 minutes a day
3230,1,1,3,0,60-120 minutes a day
96000,0,17,9,0,30-60 minutes a day
91295,0,6,8,1,Less than 15 minutes a day
316800,1,13,10,1,30-60 minutes a day
37898,1,4,7,0,15-30 minutes a day
140000,1,4,0,1,Over 120 minutes a day
79421,1,11,10,0,15-30 minutes a day
51555,1,4,3,0,60-120 minutes a day
20000,1,5,6,0,30-60 minutes a day
37026,1,3,2,1,15-30 minutes a day
92155,0,0.5,6,0,30-60 minutes a day
34000,1,5,7,1,30-60 minutes a day
42394,1,6,6,1,15-30 minutes a day
100000,0,19,8,0,15-30 minutes a day
4769,1,9,8,0,15-30 minutes a day
140000,1,16,10,1,Less than 15 minutes a day
59288,1,2,8,0,30-60 minutes a day
114461,1,8,8,0,15-30 minutes a day
70888,0,21,6,0,30-60 minutes a day
107000,0,15,4,1,60-120 minutes a day
160000,1,2,1,1,60-120 minutes a day
27389,1,0.5,5,0,15-30 minutes a day
16557,1,2,6,0,30-60 minutes a day
191797,0,15,7,0,15-30 minutes a day
9332,1,2,7,0,15-30 minutes a day
72693,1,8,9,1,30-60 minutes a day
225000,1,17,10,1,30-60 minutes a day
36346,1,1,8,0,30-60 minutes a day
105000,0,8,7,1,15-30 minutes a day
78183,0,30,9,1,15-30 minutes a day
161554,1,15,8,0,15-30 minutes a day
94517,1,3,10,0,60-120 minutes a day
48333,0,3,7,0,30-60 minutes a day
102036,0,11,3,0,30-60 minutes a day
91295,1,15,9,0,60-120 minutes a day
82703,0,14,7,0,30-60 minutes a day
79119,1,14,8,0,Less than 15 minutes a day
99000,0,25,9,1,30-60 minutes a day
120000,1,2,8,0,30-60 minutes a day
188000,1,12,8,1,Less than 15 minutes a day
61222,0,3,8,0,60-120 minutes a day
15457,1,2,9,1,30-60 minutes a day
148,0,4,3,0,Over 120 minutes a day
64444,1,9,6,0,15-30 minutes a day
98736,0,10,8,0,30-60 minutes a day
325000,0,23,8,0,60-120 minutes a day
91295,1,2,8,0,60-120 minutes a day
30074,0,10,5,1,30-60 minutes a day
31148,1,5,9,0,60-120 minutes a day
300000,1,8,8,1,60-120 minutes a day
120000,0,17,8,0,30-60 minutes a day
102950,0,12,10,0,Less than 15 minutes a day
38666,1,10,7,0,15-30 minutes a day
35890,1,5,1,0,15-30 minutes a day
26129,0,5,7,1,30-60 minutes a day
59241,0,9,8,1,30-60 minutes a day
104458,0,12,10,1,Less than 15 minutes a day
64444,1,6,8,0,30-60 minutes a day
75184,1,23,7,0,15-30 minutes a day
182591,0,15,10,1,Less than 15 minutes a day
54777,0,3,6,0,30-60 minutes a day
300000,1,7,8,0,60-120 minutes a day
32222,0,5,10,1,60-120 minutes a day
5968,0,6,8,1,30-60 minutes a day
80000,1,11,3,1,60-120 minutes a day
16336,0,14,6,0,30-60 minutes a day
59073,0,18,8,0,15-30 minutes a day
30884,0,20,10,0,15-30 minutes a day
18548,1,8,7,0,30-60 minutes a day
4785,1,4,8,0,15-30 minutes a day
68740,0,25,9,1,60-120 minutes a day
26852,1,19,7,1,15-30 minutes a day
61222,0,2,6,0,60-120 minutes a day
150664,0,20,9,1,30-60 minutes a day
56400,0,18,10,0,Over 120 minutes a day
46995,0,34,9,1,60-120 minutes a day
295000,1,15,9,0,Over 120 minutes a day
190000,0,6,6,0,30-60 minutes a day
112777,0,15,4,0,30-60 minutes a day
44037,0,6,8,0,15-30 minutes a day
69814,0,5,5,0,60-120 minutes a day
13985,1,30,9,0,30-60 minutes a day
162105,0,12,6,1,30-60 minutes a day
53703,1,3,5,0,30-60 minutes a day
96666,0,6,7,1,15-30 minutes a day
118919,1,9,9,0,15-30 minutes a day
37592,0,2,7,0,Less than 15 minutes a day
73839,0,21,3,1,15-30 minutes a day
1824,0,7,5,0,15-30 minutes a day
129524,1,12,9,1,30-60 minutes a day
95000,0,10,5,0,60-120 minutes a day
