rank,status,cp,minsplit,maxdepth,xerror,nsplit,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
1,no_splits,0.02,20,5,0,0,0,0,0,0,0
2,no_splits,0.02,40,5,0,0,0,0,0,0,0
3,no_splits,0.02,20,8,0,0,0,0,0,0,0
4,no_splits,0.02,40,8,0,0,0,0,0,0,0
5,ok,0.001,20,5,0.9810454210274947,125,0,214.92336672707188,2660.756923553136,783.4335000995469,0
6,ok,0.001,40,5,0.9810454210274947,125,0,214.92336672707188,2660.756923553136,783.4335000995469,0
7,ok,0.001,20,8,0.9810454210274947,125,0,214.92336672707188,2660.756923553136,783.4335000995469,0
8,ok,0.001,40,8,0.9810454210274947,125,0,214.92336672707188,2660.756923553136,783.4335000995469,0
9,ok,0.002,20,5,0.9831816572723311,90,0,214.29225768268918,2339.8590114526532,783.0127607366251,0
10,ok,0.002,40,5,0.9831816572723311,90,0,214.29225768268918,2339.8590114526532,783.0127607366251,0
11,ok,0.002,20,8,0.9831816572723311,90,0,214.29225768268918,2339.8590114526532,783.0127607366251,0
12,ok,0.002,40,8,0.9831816572723311,90,0,214.29225768268918,2339.8590114526532,783.0127607366251,0
13,ok,0.005,20,5,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
14,ok,0.008,20,5,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
15,ok,0.005,40,5,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
16,ok,0.008,40,5,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
17,ok,0.005,20,8,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
18,ok,0.008,20,8,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
19,ok,0.005,40,8,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
20,ok,0.008,40,8,0.988927922199308,30,0,0.3823653823507143,1879.8994023257387,0,0
21,ok,0.01,20,5,0.9906239309204793,30,0,0.3823653823507143,1879.8994023257387,0,0
22,ok,0.01,40,5,0.9906239309204793,30,0,0.3823653823507143,1879.8994023257387,0,0
23,ok,0.01,20,8,0.9906239309204793,30,0,0.3823653823507143,1879.8994023257387,0,0
24,ok,0.01,40,8,0.9906239309204793,30,0,0.3823653823507143,1879.8994023257387,0,0
