rank,status,cp,minsplit,maxdepth,xerror,nsplit,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
1,no_splits,0.008,20,5,0,0,0,0,0,0,0
2,no_splits,0.01,20,5,0,0,0,0,0,0,0
3,no_splits,0.02,20,5,0,0,0,0,0,0,0
4,no_splits,0.008,40,5,0,0,0,0,0,0,0
5,no_splits,0.01,40,5,0,0,0,0,0,0,0
6,no_splits,0.02,40,5,0,0,0,0,0,0,0
7,no_splits,0.008,20,8,0,0,0,0,0,0,0
8,no_splits,0.01,20,8,0,0,0,0,0,0,0
9,no_splits,0.02,20,8,0,0,0,0,0,0,0
10,no_splits,0.008,40,8,0,0,0,0,0,0,0
11,no_splits,0.01,40,8,0,0,0,0,0,0,0
12,no_splits,0.02,40,8,0,0,0,0,0,0,0
13,ok,0.001,20,5,0.987231505096173,170,203.7205285292766,872.3079474439428,0,1676.7023301137767,263.38426271606096
14,ok,0.001,40,5,0.987231505096173,170,203.7205285292766,872.3079474439428,0,1676.7023301137767,263.38426271606096
15,ok,0.001,20,8,0.987231505096173,170,203.7205285292766,872.3079474439428,0,1676.7023301137767,263.38426271606096
16,ok,0.001,40,8,0.987231505096173,170,203.7205285292766,872.3079474439428,0,1676.7023301137767,263.38426271606096
17,ok,0.002,20,5,0.990857104867202,45,0,337.1622025502607,0,1662.4463578136042,0
18,ok,0.002,40,5,0.990857104867202,45,0,337.1622025502607,0,1662.4463578136042,0
19,ok,0.002,20,8,0.990857104867202,45,0,337.1622025502607,0,1662.4463578136042,0
20,ok,0.002,40,8,0.990857104867202,45,0,337.1622025502607,0,1662.4463578136042,0
21,ok,0.005,20,5,0.992743546949585,25,0,337.1622025502607,0,1283.4402899904985,0
22,ok,0.005,40,5,0.992743546949585,25,0,337.1622025502607,0,1283.4402899904985,0
23,ok,0.005,20,8,0.992743546949585,25,0,337.1622025502607,0,1283.4402899904985,0
24,ok,0.005,40,8,0.992743546949585,25,0,337.1622025502607,0,1283.4402899904985,0
