Job_Satisfaction,Uses_AI,Salary,TimeSearching_Min,Years_Exp,Is_Remote
5,1,54777,NA,5,1
9,0,53782,NA,17,1
7,0,100000,NA,27,1
6,0,77332,NA,7,1
8,0,30573,NA,6,0
8,1,17969,NA,5,1
4,0,63765,NA,25,0
8,0,61062,NA,12,0
10,0,116000,NA,10,0
5,0,98814,NA,27,0
10,1,37297,NA,10,0
8,0,59073,NA,11,0
6,1,9274,NA,0.5,0
10,1,22409,NA,11,0
9,1,33498,NA,18,1
7,0,85925,NA,37,0
8,0,23256,NA,20,0
7,1,159235,NA,17,1
9,1,65343,NA,6,1
7,0,45111,NA,7,0
6,1,73724,NA,7,0
6,0,43824,NA,16,0
7,0,50955,NA,6,1
7,1,70000,NA,6,1
7,1,20577,NA,7,1
7,1,33445,NA,12,1
10,1,205600,NA,15,1
9,1,67666,NA,7,0
6,1,50481,NA,15,0
3,1,1688,NA,4,1
3,0,29132,NA,6,0
7,0,150000,NA,8,0
9,0,44434,NA,24,0
6,0,200000,NA,2,1
7,0,149000,NA,29,0
9,0,16474,NA,5,0
9,0,55249,NA,41,0
8,1,46185,NA,7,0
9,1,35890,NA,8,1
7,0,75000,NA,30,0
9,0,25409,NA,10,0
7,0,120000,NA,30,0
6,0,64444,NA,25,1
8,0,114649,NA,24,1
8,1,236294,NA,26,1
7,0,96666,NA,10,0
2,0,70888,NA,4,1
8,1,200000,NA,29,0
6,0,80000,NA,9,0
8,0,63644,NA,17,0
4,1,810000,NA,37,0
6,0,48333,NA,4,0
3,1,370,NA,2,0
7,1,11923,NA,7,1
7,0,69814,NA,33,0
8,1,913,NA,1,0
2,1,109039,NA,11,1
8,1,131400,NA,8,1
9,1,60976,NA,24,0
1,1,23765,NA,3,1
9,1,77332,NA,6,0
5,0,21619,NA,26,0
9,1,23927,NA,13,0
9,0,184793,NA,35,0
7,1,96666,NA,12,0
7,0,85925,NA,27,0
8,1,51662,NA,7,0
8,1,11189,NA,3,0
8,1,120000,NA,30,0
8,0,3277,NA,8,0
10,1,83597,NA,12,1
8,1,81629,NA,8,0
6,1,122402,NA,30,0
8,0,101403,NA,18,1
8,1,41351,NA,9,0
7,0,42962,NA,2,0
9,0,350000,NA,45,0
8,0,59073,NA,9,0
8,1,178343,NA,6,0
10,0,125000,NA,6,0
3,1,32254,NA,1,0
9,0,200000,NA,17,0
8,0,54140,NA,6,1
10,1,77332,NA,13,1
7,1,16807,NA,4,0
7,1,73000,NA,4,1
10,1,139628,NA,11,0
3,1,80555,NA,4,0
6,1,105000,NA,5,0
2,1,1016,NA,3,1
6,0,50885,NA,0.5,0
7,1,116309,NA,5,1
6,1,187000,NA,6,1
8,0,167125,NA,19,0
6,1,122559,NA,9,0
10,1,60000,NA,16,1
7,1,73915,NA,2,0
8,1,142477,NA,8,0
6,0,30074,NA,21,0
5,0,107406,NA,15,1
7,1,10213,NA,2,1
5,1,32222,NA,0.5,0
6,1,45111,NA,2,0
7,0,150000,NA,15,0
7,1,69814,NA,2,0
9,1,148000,NA,8,1
7,1,55851,NA,17,1
8,1,12984,NA,1,0
7,0,51555,NA,8,1
9,0,175000,NA,30,1
8,1,170000,NA,15,0
10,1,64444,NA,14,0
6,0,52853,NA,3,0
5,0,133058,NA,11,0
6,1,28197,NA,15,0
5,0,113334,NA,14,0
7,1,74595,NA,14,0
9,0,276000,NA,25,1
6,1,25698,NA,2,0
8,1,64444,NA,12,1
5,0,49493,NA,3,0
6,1,5264,NA,2,1
3,0,8586,NA,4,0
6,1,180000,NA,9,0
8,0,69814,NA,10,0
5,0,85925,NA,23,0
8,1,59288,NA,2,0
5,0,66242,NA,10,1
9,1,160000,NA,5,0
8,1,41392,NA,8,1
8,0,39594,NA,17,0
9,0,64098,NA,12,0
10,1,59520,NA,10,0
1,1,91295,NA,5,0
7,0,11189,NA,20,1
8,0,250000,NA,9,1
10,0,83200,NA,12,1
8,1,56496,NA,6,0
7,1,152865,NA,23,0
6,0,89087,NA,15,1
6,0,43616,NA,3,0
6,1,19200,NA,7,0
10,0,132132,NA,5,1
6,0,27175,NA,6,1
3,1,186000,NA,11,1
6,0,95592,NA,14,0
6,0,53703,NA,18,0
10,0,86104,NA,20,0
7,1,74874,NA,8,0
8,1,14298,NA,4,0
9,0,148600,NA,25,1
7,1,152865,NA,19,1
6,0,7477,NA,2,0
9,0,101770,NA,20,1
10,0,75184,NA,18,0
9,0,350000,NA,34,1
9,1,8614,NA,15,0
8,0,67000,NA,6,0
4,0,72693,NA,15,0
8,0,24003,NA,6,0
4,0,49681,NA,5,0
8,1,81629,NA,30,0
6,0,91295,NA,12,1
5,1,46614,NA,3,0
7,0,53066,NA,6,1
9,1,47854,NA,9,0
10,0,160000,NA,8,0
7,0,37592,NA,21,1
5,0,37736,NA,7,0
9,1,122000,NA,12,1
5,0,70082,NA,10,0
8,0,150000,NA,24,0
7,1,55422,NA,4,1
5,1,16632,NA,10,1
8,1,80000,NA,1,0
7,0,112312,NA,24,1
8,0,26852,NA,4,0
4,0,102950,NA,15,0
6,1,43822,NA,2,1
8,0,96666,NA,20,0
7,0,103110,NA,15,0
10,1,200000,NA,28,1
6,0,91000,NA,5,0
9,0,159924,NA,32,0
9,1,91000,NA,0.5,0
4,1,2816,NA,2,1
5,1,38666,NA,4,0
8,1,145386,NA,23,1
7,0,85925,NA,15,1
9,1,363363,NA,27,0
9,1,58598,NA,8,0
8,1,47854,NA,10,0
5,0,102950,NA,22,0
8,1,300000,NA,16,1
8,1,109554,NA,14,0
7,0,47259,NA,9,0
8,1,48977,NA,10,0
9,1,161109,NA,6,0
